SV_A,SV_R
3.86,0
6.41,4.05
1.41,0
3.05,3.06
5.05,3.11
2.76,5.48
4.46,5.26
4.75,5.86
2.04,3.28
4.62,0
1.23,2.94
2.95,4.71
6.27,5.06
2.53,0
1.21,3.48
5.25,3.84
1.69,6.27
5.29,5.47
6.94,0
4.54,2.41
5.19,7.94
4.06,7.62
5.46,4.84
2.63,0
4.4,4.26
5.14,0
2.84,2.74
1.84,4.17
3.2,10
3.47,2.27
3.54,2.82
3.82,7.06
4.63,4.85
3.86,5.33
4.36,3.74
5.21,4.35
6.14,4.65
7.52,5.65
3.36,8.61
4.07,5.73
2.96,6.25
5.71,2.17
4.56,3.63
5.93,5.32
0.93,3.01
4.92,2.86
4.44,7.37
3.39,3.06
2.74,25
5.1,5.55
4.17,9.09
2.23,0
2.87,6.06
5.14,7
2.53,4.48
4.03,0
5.19,0
4.57,22.22
5.94,0
10.57,0
3.89,0
3.73,0
1.39,6.25
0.77,8.33
6.18,4.35
3.57,8.62
3.61,20
3.69,2.5
1.99,3.39
4.1,0
3.81,7.69
3.65,0
3.61,28.57
3.49,0
3.47,25
3.59,0
2.76,0
3.28,2.22
5.56,4
4.14,5.26
6.04,0
4.21,6.25
6.36,4.23
1.27,6.21
4.43,20
9.35,2.5
4.42,15.38
3.88,0
4.62,10.17
2.15,0
6.54,10.53
0,0
3.82,4.97
4.9,6.07
3.98,0
4.74,0
5.83,14.29
3.17,14.29
6.08,0
4.62,0
4.64,7.34
4.2,5.27
3.8,7.37
4.83,4.76
3.12,0
2.88,7.03
7.32,4.57
5.42,25
4.62,5.43
0,6.32
4.56,1.94
4.75,0
4.55,10.91
4.63,4.82
3.67,4.55
3.75,4.88
1.96,3.7
4.85,4.38
4.4,4.13
1.92,0.25
5.64,5.49
3.98,8
5.11,3.34
5.94,5.45
3.7,3.41
2.47,5.19
3.99,2.62
3.57,2.46
3.13,2.67
3.8,3.23
3.86,3.45
7.41,7.5
2.31,5.93
6.9,5.19
2.4,5.01
4.88,3.55
5.08,3.26
8.47,5.24
3.74,0.97
5.77,3.84
5.53,3.79
2.74,9.52
0,4.07
2.52,2.54
6,8.33
5.54,6.46
2.48,6.28
5.26,6.15
3.33,2.28
4.4,6.96
3.2,5.73
2.86,3.55
3.7,3.95
4.55,8.7
4.59,5
10,3.33
4.02,3.58
8.4,5.67
5.88,4.42
4.95,5.63
3.22,6.15
4.36,2.4
4.84,3.27
3.33,3.31
4.18,3.88
1.74,6.56
4.66,7.14
6.45,8.37
0,5.12
6.25,3.74
0.53,3.37
2.88,4.44
6.25,7.33
6.06,3.03
3.03,2.65
4.76,2.49
0,6.9
0,7.36
4.39,2.7
5.13,4.14
8.33,2.11
3.88,6.06
5.11,6.93
0,7.09
4.6,5.43
6.74,2.68
2.76,5.52
2.99,2.83
4.01,7.06
7.69,3.82
3.05,4.24
4.88,8.33
6.67,1.98
5.2,5.49
4.83,2.22
3.75,5.19
4.39,12.07
4.19,3.66
3.1,5.06
5.08,5.62
1.85,5.88
2.68,8.18
5.96,4.11
11.76,4.96
3.85,3.17
3.56,5.15
1.89,3.86
4.92,6.58
7.41,2.63
3.54,2.88
4.85,3.42
0,7.64
2.78,4.55
2.27,6.53
2.08,3.59
3.45,1.56
3.03,5.97
5.06,7.73
4.63,5.45
4.35,5.33
4.6,3.68
14.29,1.22
3.19,4.46
2.17,4.66
9.09,4.78
4.55,4.49
5.19,6.27
2.2,3.65
5.83,1.79
6.12,3.78
4.64,4.43
2.63,2.62
2.94,3.47
3.33,0
3.9,2.63
2.88,4.1
5.69,2.52
2.64,0.99
3.66,5.47
2.17,4.33
4.8,3.53
3.51,4.11
6.82,0
0,3.08
2.66,4.05
3.18,2.63
5.12,9.92
6.48,1.93
7.14,1.76
3.51,5.45
2.78,4.76
5.13,4.55
3.38,3.08
0,1.42
4.84,5.73
3.93,2.64
6.06,6.48
3.45,2.94
0,2.82
3.64,3.37
0.72,4.27
6.4,5.26
1.16,3.46
5.63,5.34
4.35,3.2
12.5,5.67
3.23,4.91
6.02,1.58
3.17,3.59
5.93,4.37
3.7,0.94
4.43,1.43
2.23,4.32
3.46,2.84
5.11,3.17
3.88,4.74
4,2.93
4.69,3.11
5.32,5.52
2.9,2.86
0.98,1.09
2.05,6.08
3.7,3.48
2.66,4.26
2.78,3.75
2.15,3.25
8.93,0.57
5.09,5.31
3.17,5.95
2.69,5.61
7.62,2.82
2.34,3.13
2.65,1.48
5.41,2.15
6.29,4.56
3.96,0
4.88,1.32
6.56,1.95
2.99,4.14
0,4.54
4.6,5.24
0.65,4.76
1.79,5.9
6.08,3.98
3.03,1.51
3.96,6.82
4.76,2.98
3.35,4.27
3,2.72
4.29,3.83
8.33,2.76
2.56,6.88
9.38,4.02
2.42,1.81
1.82,5.69
2.94,5.17
5.67,4.26
0,4.2
2.52,3.13
3.49,5.77
3.48,3.69
3.13,3.94
1.32,3.21
10,3.81
9.84,4.94
6.16,53.57
4.13,3.77
6.34,2.11
18.75,2.97
4.82,2.42
0,5.43
0,5.38
3.7,1.72
5.64,1.98
4.65,2.85
3.59,3.64
4.21,7.43
5.31,23.9
2.11,3.75
2.5,3.81
5,15.09
4.6,17.73
4.01,5.43
3.23,8.09
2.24,4.46
4.55,1.23
1.69,1.11
1.17,69.43
4.7,4.34
8,3.66
2.08,2.77
9.48,2.29
5.53,3.83
1.82,5.43
2.85,8.37
6.9,4.31
1.39,2.11
4.84,6.54
2.69,4.4
3.43,4.52
3.58,4.08
4.53,4.63
1.39,2.3
3.52,3.39
2.53,4.74
3.34,3.72
7.55,4.92
0,6.09
5.41,4.56
4,3.09
3.55,4.46
3.43,2.2
7.55,13.85
4.96,4.92
3.11,4.98
3.2,4.45
5.61,5.93
3.17,4.9
4.04,4.31
2.08,1.68
2,4
5.34,6.67
2.41,0
2.41,5
5.47,0.61
8.05,3.07
3.03,3.92
5.69,4.41
6.3,7.5
7.14,4.08
4.07,5.06
4.32,3.24
1.71,6.06
6.45,3.37
6.67,6.82
6.3,5
0,5.03
6.32,1.83
3.76,3.33
2.07,4.79
6.25,3.49
8.85,6.9
5.56,4.29
3.06,9.09
5.56,3.45
2.69,2.58
2.4,4.46
4.5,3.46
4.38,3.79
2.37,4.81
4.08,4.73
2.02,6.05
3.09,7.52
3.23,3.25
6.27,3.91
3.89,3.47
3.14,4.74
3.59,3.03
2.33,2.05
2.03,4.98
1.5,4.17
3.37,4.65
3.21,0.31
2.46,5.48
4.12,0
4.53,4.44
4.35,5.56
5.71,3.23
4.04,1.79
4.79,3.16
3.45,5.26
2.93,9.27
5.52,5.18
3.29,9.84
3.68,3.04
4.38,3.67
8.33,5.71
4.23,2.22
4.76,2.01
6.12,2.68
2.67,1.23
2.51,0
0,2.52
4.75,4.19
5.64,5.15
4.41,6.06
12.5,4.95
4.05,4.17
2.97,4.35
9.09,2.33
9.68,0
4.27,8.23
0,3.59
4.72,6.1
3.85,2.67
4.62,2.2
7.56,3.29
2.27,6.23
0,1.67
4.08,4.92
1.97,5.97
4.02,3.3
5.97,4.51
2.33,3.36
2.38,5.78
3.02,4.58
4,6.25
6,7.23
6.79,7.31
4.37,5
5.48,6.37
4.27,6.38
5.19,2.91
2.11,4.15
5.81,2.63
4.32,4.13
2.52,2.59
6.77,7.02
4.97,6.62
4.52,4.55
4.4,4.37
4.07,3.43
9.8,2.47
3.9,6.91
10,4.36
3.56,3.9
4.83,0.5
4.76,3.66
6.19,4.65
0,2.77
3.8,6.98
4.29,4.55
3.94,3.4
4.2,4.19
5.52,2.94
8.28,4.87
3.47,2.46
2.17,4.34
4.13,4.95
9.05,3.22
6.01,6.03
2.28,4.23
4.65,4.44
4.5,4.08
5.71,2.93
5.04,6.46
3.75,4.48
0,3.39
2.94,3.76
1.54,3.89
9.3,2.37
3.35,7.36
4.17,7.81
6.05,7.32
3.82,3.01
5.17,3.54
2.13,2.19
5.81,5.6
3.45,3.18
1.19,1.59
6.09,5.15
6,5.65
3.85,5.17
4.23,3.99
3.21,3.15
3.44,3.08
5.63,5.38
3.9,1.36
4.93,6.21
5.08,5.19
3.05,4.7
3.91,5.01
4.8,1.49
5.31,4.41
2.29,4.18
4.22,6.09
2.18,3.8
3.92,5.34
1.36,4.26
3.23,3.04
3.77,3.55
7.26,5.59
20,3.82
4.94,4.48
3.45,3.38
4.63,6.61
2.34,3.6
5.26,4.12
2.7,3.44
5.78,4.79
7.14,6.45
3.72,6.37
4.73,3.66
2.39,4.3
4.6,5.77
2.96,2.15
2.44,4.84
6.25,5.33
3.45,4.21
2.48,2.7
1.14,4.36
15.79,6.67
4.55,4.13
3.33,6.06
2.6,3.78
6.25,1.65
3.94,4.9
5.11,3.05
2.33,5.97
4.47,3.06
8.57,2.86
2.41,4.09
0.72,6.93
2.44,5.49
4.88,5.45
3.33,3.56
0,5.57
0,3.1
2.97,2.56
1.22,8
3.61,5.17
1.64,1.54
1.79,3.62
1.59,5.19
0,4.51
4.32,4.34
6.06,3.52
4.55,3.9
3.78,2.13
4.55,5.33
3,7.2
1.77,3.5
3.2,4.14
3.13,5.74
0.47,3.77
5.88,4.76
2.74,6.12
3.81,3.79
3.85,3.85
3.06,4.34
6.67,4.69
2.02,3.57
4.43,5.49
15.56,2.09
6.9,3.92
0,6.74
2,1.97
3.38,3.2
5.37,6.37
3.54,3.61
0,6.9
6.52,4.05
6.54,6.58
0,1.76
2.69,4.94
7.15,1.94
2.82,4.66
1.37,5.36
3.42,2.47
4.2,6.07
5.37,1.92
4.39,4
4.72,6.57
4.52,6.8
0,5.28
6.67,3.12
8.33,3.28
3.45,3.68
4.23,4
0.86,3.49
0.6,2.56
4.87,5.83
8.14,3.97
2.71,3.83
2.33,7.94
5.68,5.65
3.15,3.42
4.55,5.42
4.13,4.58
2.84,7.06
3.13,6.59
3.75,6.9
7.58,1.31
3.85,0.17
3.72,3.39
4.55,2.27
7.94,2.75
7.55,5.73
4.6,0
4.15,3.13
7.29,4.05
2.92,4.59
5.83,7.62
0,1.54
4.18,7.69
5,8.75
5.52,6.46
6.48,5.8
0,4.48
5.94,4.17
5.41,6.49
2.36,4.23
5.26,2.5
3.33,3.77
3.28,4.9
3.57,4.44
5.88,4.22
3.62,1.15
4.63,4.39
2.38,2.27
4.21,4.27
3.18,6.88
0,5
6.25,5.11
2.78,
0,2.88
3.14,6.25
5.65,0.4
2.8,1.47
5.69,7.89
4.08,3.88
4.06,3.01
5.88,4.27
3.26,3.46
6.91,3.46
3.81,6.69
3.48,6.67
5.39,5.14
10,0.6
5.59,3.1
0,7.81
4.82,3.36
7.32,3.92
4.76,3.93
5.08,1.71
9.84,3.96
4.43,3.27
2.83,4.91
5.66,4.01
6.25,2.02
2.99,2.89
8.23,4.49
6.8,2.85
3.47,5.92
4.34,5.4
6.25,11.52
0.98,40.91
5.19,4.68
3.57,4.06
4.49,3.37
4.92,3.75
3.28,4.25
6.25,4.55
4.95,7.38
2.55,2.94
2.15,3.97
2.46,4.91
2.27,8.11
8,3.4
6.25,2.64
4.51,3.56
0,2.91
3.77,2.96
3.91,3.25
5,5.19
3.66,3.2
10,0
0,5.36
2.7,4.58
1.56,4.61
1.94,3.07
0,4.45
6.38,8.2
5.63,5.3
0,3.79
4.29,4.2
6.9,5.28
3.61,4.61
5.07,3.36
4.35,1.65
5.1,3.47
3.13,4.64
9.68,4.65
5.33,4.88
2.14,0
9.09,10.71
1.52,1.96
3.01,5
1.67,4
1.43,9.23
3.69,4.82
4.26,2.07
2.8,4.49
2.25,5.48
5.54,4.72
3.8,1.59
4.35,4.29
0,5.88
7.87,4.14
3.62,1.48
3.39,2.48
4.55,1.92
7.69,0
3.85,6.88
5.47,4.7
4.35,0
6.38,1.39
3.63,0
0,3.28
7.14,3.37
10.14,4.25
8,4.04
5.26,3.15
2.94,3.99
5,4.43
3.64,4.67
7.27,4.66
2.92,4
3.38,5.65
1.89,4.17
0,9.3
4.52,5.33
4,12.69
0,3.88
3.47,2.65
3.5,3.76
3.82,5.21
4,4.52
5.99,4.98
8.37,1.99
0,3.68
9.52,1.98
2.69,1.75
2.94,6.06
2.17,5.14
3.48,5.02
2.52,3.66
4.12,15.38
4.67,3.9
6.01,3.02
5.56,8.67
3.93,4.36
7.69,4.95
3.57,6.47
7.32,4.82
3.05,6.98
1.67,3.83
5.17,2.21
4.17,5.96
2.22,4.17
0,6.78
1.64,3.42
5.56,6.15
1.92,6.77
4.08,6.25
